month,lse_tone_mean,lse_pos_sum,lse_neg_sum,lse_unc_sum,vader_compound_mean,tb_polarity_mean,speech_count,ftse250_close,ftse100_close,ftse250_mean_close,period,ftse100_mean_close,cpih_annual_rate
2008-12-01,-0.08040201005025126,91.0,107.0,43.0,0.9924,0.08365633781423257,1,6158.3909523809525,5388.8825,6158.3909523809525,Pre-Brexit (benign),5388.8825,3.0
2009-01-01,-0.47260304869373915,133.0,403.0,147.0,0.3326333333333333,0.07755851953734651,3,6411.688095238096,4603.63,6411.688095238096,Pre-Brexit (benign),4603.63,2.0
2009-01-01,-0.47260304869373915,133.0,403.0,147.0,0.3326333333333333,0.07755851953734651,3,6411.688095238096,4603.63,6411.688095238096,Pre-Brexit (benign),4603.63,2.9
2009-02-01,-0.42908937399128727,441.0,1112.0,516.0,0.34595000000000004,0.08445191704588584,6,6268.8910000000005,4533.9800000000005,6268.8910000000005,Pre-Brexit (benign),4533.9800000000005,3.1
2009-03-01,-0.356075690309701,337.0,755.0,434.0,0.5987199999999999,0.07561810803821598,5,6147.399090909091,4461.704444444444,6147.399090909091,Pre-Brexit (benign),4461.704444444444,2.8
2009-04-01,-0.36076762246117083,163.0,361.0,239.0,-0.00020000000000003348,0.0670216634089076,2,7070.8725,4602.104285714286,7070.8725,Pre-Brexit (benign),4602.104285714286,2.3
2009-05-01,-0.2590565676420432,247.0,575.0,461.0,0.60014,0.12014304193130691,5,7613.05894736842,4488.87875,7613.05894736842,Pre-Brexit (benign),4488.87875,2.1
2009-06-01,-0.18787489593883736,354.0,544.0,321.0,0.7459166666666667,0.09239853904261557,6,7516.076818181818,4446.41,7516.076818181818,Pre-Brexit (benign),4446.41,1.7
2009-07-01,-0.3068879094287443,74.0,144.0,101.0,0.0021000000000000463,0.09605561082180475,2,7575.779130434783,4638.50125,7575.779130434783,Pre-Brexit (benign),4638.50125,1.6
2009-08-01,-0.3679060665362035,161.0,349.0,222.0,0.9999,0.0768116660780878,1,8487.2305,4595.4425,8487.2305,Pre-Brexit (benign),4595.4425,1.4
2009-09-01,-0.19918597751897513,376.0,550.0,344.0,0.9989399999999999,0.08292685774694668,5,9071.063181818181,4545.094999999999,9071.063181818181,Pre-Brexit (benign),4545.094999999999,1.0
2009-10-01,-0.418348217539804,227.0,562.0,288.0,0.703975,0.05331816176847308,4,9252.195,4584.62875,9252.195,Pre-Brexit (benign),4584.62875,1.2
2009-11-01,-0.38166673216044217,269.0,570.0,260.0,0.99788,0.09562783971147189,5,9152.50857142857,4629.57125,9152.50857142857,Pre-Brexit (benign),4629.57125,1.5
2009-12-01,-0.29151119433905553,209.0,390.0,229.0,0.98755,0.07661744410153602,4,9124.200476190475,4551.4262499999995,9124.200476190475,Pre-Brexit (benign),4551.4262499999995,2.1
2010-01-01,-0.35258654820709956,194.0,402.0,232.0,0.49815,0.08377073571703259,4,9480.3625,5407.08,9480.3625,Pre-Brexit (benign),5407.08,2.5
2010-01-01,-0.35258654820709956,194.0,402.0,232.0,0.49815,0.08377073571703259,4,9480.3625,5407.08,9480.3625,Pre-Brexit (benign),5407.08,2.6
2010-02-01,-0.3236466595963397,195.0,367.0,249.0,0.9905333333333334,0.08553098182314035,3,9245.0905,5381.24,9245.0905,Pre-Brexit (benign),5381.24,2.1
2010-03-01,-0.2956237086715714,388.0,788.0,534.0,0.9991500000000001,0.09470378364026172,6,9924.916086956522,5473.78,9924.916086956522,Pre-Brexit (benign),5473.78,2.4
2010-04-01,-0.37037037037037035,93.0,203.0,157.0,-0.998,0.0764488018567516,1,10449.628,5438.605,10449.628,Pre-Brexit (benign),5438.605,2.7
2010-05-01,-0.3436619718309859,116.0,238.0,63.0,0.9987,0.08057416868947873,1,9780.315789473685,5403.19125,9780.315789473685,Pre-Brexit (benign),5403.19125,2.5
2010-06-01,-0.32166279355230387,151.0,313.0,171.0,0.35805,0.07813729425659974,4,9685.395909090908,5469.95375,9685.395909090908,Pre-Brexit (benign),5469.95375,2.4
2010-07-01,-0.2999433765271498,244.0,429.0,436.0,0.5264,0.08263112034352305,4,9778.644545454545,5421.76,9778.644545454545,Pre-Brexit (benign),5421.76,2.3
2010-08-01,-0.2113323124042879,257.0,395.0,325.0,1.0,0.09964674998008292,1,9904.727142857142,5481.143,9904.727142857142,Pre-Brexit (benign),5481.143,2.4
2010-09-01,-0.24132577655572612,443.0,796.0,423.0,0.42874285714285715,0.07719867241657767,7,10402.09,5476.861111111111,10402.09,Pre-Brexit (benign),5476.861111111111,2.4
2010-10-01,-0.2733754648285439,422.0,782.0,465.0,0.9926857142857143,0.09019185962164622,7,10813.172380952381,5475.0525,10813.172380952381,Pre-Brexit (benign),5475.0525,2.5
2010-11-01,-0.28726299230789715,364.0,631.0,456.0,0.97758,0.06981421658393425,5,10855.671818181818,5443.4425,10855.671818181818,Pre-Brexit (benign),5443.4425,2.6
2010-12-01,-0.2548544337606838,220.0,384.0,178.0,0.999,0.07651110628183135,3,11351.877619047618,5479.938888888889,11351.877619047618,Pre-Brexit (benign),5479.938888888889,3.1
2011-01-01,-0.2413285630433987,241.0,432.0,235.0,0.007525000000000004,0.08583357903104666,4,11655.0925,5769.54,11655.0925,Pre-Brexit (benign),5769.54,3.4
2011-01-01,-0.2413285630433987,241.0,432.0,235.0,0.007525000000000004,0.08583357903104666,4,11655.0925,5769.54,11655.0925,Pre-Brexit (benign),5769.54,3.8
2011-02-01,-0.22392856234658962,373.0,637.0,405.0,0.7154428571428572,0.08715623411014552,7,11698.598,5687.098571428572,11698.598,Pre-Brexit (benign),5687.098571428572,3.7
2011-03-01,-0.2381330982869816,461.0,790.0,705.0,0.21468888888888887,0.08385023507188072,9,11518.82652173913,5733.138571428572,11518.82652173913,Pre-Brexit (benign),5733.138571428572,3.5
2011-04-01,-0.16827135162365342,286.0,403.0,254.0,0.995125,0.07824820518484006,4,11717.762222222222,5764.996666666667,11717.762222222222,Pre-Brexit (benign),5764.996666666667,3.8
2011-05-01,-0.14645129583924824,450.0,588.0,439.0,0.43022857142857146,0.0739222665755108,7,11929.9185,5626.82875,11929.9185,Pre-Brexit (benign),5626.82875,3.8
2011-06-01,-0.3598977021394366,250.0,504.0,316.0,0.43602857142857143,0.08446342691538582,7,11768.967272727272,5740.03875,11768.967272727272,Pre-Brexit (benign),5740.03875,3.6
2011-07-01,-0.47090752762892596,220.0,593.0,479.0,0.009750000000000009,0.08709165039708511,4,11829.433333333334,5761.543,11829.433333333334,Pre-Brexit (benign),5761.543,3.8
