Date,Open,High,Low,Close,Volume
18/5/2023,7723.23,7776.58,7723.23,7742.3,563188898
19/5/2023,7742.3,7790.92,7742.13,7756.87,554488928
22/5/2023,7756.87,7783.4,7750.53,7770.99,568407406
23/5/2023,7770.99,7800.85,7747.09,7762.95,486693289
24/5/2023,7762.95,7762.95,7590.24,7627.1,533583155
25/5/2023,7627.1,7629.08,7569.17,7570.87,802619595
26/5/2023,7570.87,7643.56,7556.92,7627.2,645281046
30/5/2023,7627.2,7628.12,7516.52,7522.07,545892499
31/5/2023,7522.07,7522.07,7446.14,7446.14,549642179
1/6/2023,7446.14,7498.59,7445.3,7490.27,2162402643
2/6/2023,7490.27,7614.89,7490.02,7607.28,583735193
5/6/2023,7607.28,7654.84,7594.13,7599.99,579025462
6/6/2023,7599.99,7636.06,7556.16,7628.1,498084585
7/6/2023,7628.1,7642.4,7604.42,7624.34,559970340
8/6/2023,7624.34,7638.61,7587.99,7599.74,543741061
9/6/2023,7599.74,7621.72,7546.5,7562.36,448524349
12/6/2023,7562.36,7599.87,7556.81,7570.69,434275021
13/6/2023,7570.69,7610.77,7556.32,7594.78,477052802
14/6/2023,7594.78,7639.79,7579.27,7602.74,598782062
15/6/2023,7602.74,7632.67,7584.78,7628.26,637569831
16/6/2023,7628.26,7687.61,7627.83,7642.72,590275538
19/6/2023,7642.72,7642.72,7581.84,7588.48,1933713048
20/6/2023,7588.48,7607.53,7566.33,7569.31,369872729
21/6/2023,7569.31,7577.6,7520.92,7559.18,498184526
22/6/2023,7559.18,7559.18,7458.35,7502.03,593581005
23/6/2023,7502.03,7502.03,7439.72,7461.87,611887428
26/6/2023,7461.87,7476.45,7401.18,7453.58,601591849
27/6/2023,7453.58,7495.88,7428.11,7461.46,605689307
28/6/2023,7461.46,7518.33,7461.46,7500.49,564830105
29/6/2023,7500.49,7505.61,7460.53,7471.69,566702380
30/6/2023,7471.69,7551.59,7471.69,7531.53,535865872
3/7/2023,7531.53,7561.26,7513.93,7527.26,644995833
4/7/2023,7527.26,7547.38,7518.36,7519.72,439852921
5/7/2023,7519.72,7519.72,7434.66,7442.1,306361793
6/7/2023,7442.1,7442.1,7267.62,7280.5,590402393
7/7/2023,7280.5,7280.5,7229.57,7256.94,598703693
10/7/2023,7256.94,7306.09,7238.72,7273.79,432486962
11/7/2023,7273.79,7285.33,7239.23,7282.52,386400792
12/7/2023,7282.52,7425.1,7282.52,7416.11,410602122
13/7/2023,7416.11,7457.2,7409.25,7440.21,539787842
14/7/2023,7440.21,7480.43,7421.31,7434.57,438079868
17/7/2023,7434.57,7437.61,7395.67,7406.42,382884651
